dateff,mktrf,rf
30/01/2004,0.021500,0.00070
27/02/2004,0.014000,0.00060
31/03/2004,-0.013200,0.00090
30/04/2004,-0.018300,0.00080
28/05/2004,0.011700,0.00060
30/06/2004,0.018600,0.00080
30/07/2004,-0.040600,0.00100
31/08/2004,0.000800,0.00110
30/09/2004,0.016000,0.00110
29/10/2004,0.014300,0.00110
30/11/2004,0.045400,0.00150
31/12/2004,0.034300,0.00160
31/01/2005,-0.027600,0.00160
28/02/2005,0.018900,0.00160
31/03/2005,-0.019700,0.00210
29/04/2005,-0.026100,0.00210
31/05/2005,0.036500,0.00240
30/06/2005,0.005700,0.00230
29/07/2005,0.039200,0.00240
31/08/2005,-0.012200,0.00300
30/09/2005,0.004900,0.00290
31/10/2005,-0.020200,0.00270
30/11/2005,0.036100,0.00310
30/12/2005,-0.002500,0.00320
31/01/2006,0.030400,0.00350
28/02/2006,-0.003000,0.00340
31/03/2006,0.014600,0.00370
28/04/2006,0.007300,0.00360
31/05/2006,-0.035700,0.00430
30/06/2006,-0.003500,0.00400
31/07/2006,-0.007800,0.00400
31/08/2006,0.020300,0.00420
29/09/2006,0.018400,0.00410
31/10/2006,0.032300,0.00410
30/11/2006,0.017100,0.00420
29/12/2006,0.008700,0.00400
31/01/2007,0.014000,0.00440
28/02/2007,-0.019600,0.00380
30/03/2007,0.006800,0.00430
30/04/2007,0.034900,0.00440
31/05/2007,0.032400,0.00410
29/06/2007,-0.019600,0.00400
31/07/2007,-0.037300,0.00400
31/08/2007,0.009200,0.00420
28/09/2007,0.032200,0.00320
31/10/2007,0.018000,0.00320
30/11/2007,-0.048300,0.00340
31/12/2007,-0.008700,0.00270
31/01/2008,-0.063600,0.00210
29/02/2008,-0.030900,0.00130
31/03/2008,-0.009300,0.00170
30/04/2008,0.046000,0.00180
30/05/2008,0.018600,0.00180
30/06/2008,-0.084400,0.00170
31/07/2008,-0.007700,0.00150
29/08/2008,0.015300,0.00130
30/09/2008,-0.092400,0.00150
31/10/2008,-0.172300,0.00080
28/11/2008,-0.078600,0.00030
31/12/2008,0.017400,0.00000
30/01/2009,-0.081200,0.00000
27/02/2009,-0.101000,0.00010
31/03/2009,0.089500,0.00020
30/04/2009,0.101900,0.00010
29/05/2009,0.052100,0.00000
30/06/2009,0.004300,0.00010
31/07/2009,0.077200,0.00010
31/08/2009,0.033300,0.00010
30/09/2009,0.040800,0.00010
30/10/2009,-0.025900,0.00000
30/11/2009,0.055600,0.00000
31/12/2009,0.027500,0.00010
29/01/2010,-0.033600,0.00000
26/02/2010,0.034000,0.00000
31/03/2010,0.063100,0.00010
30/04/2010,0.020000,0.00010
28/05/2010,-0.078900,0.00010
30/06/2010,-0.055600,0.00010
30/07/2010,0.069300,0.00010
31/08/2010,-0.047700,0.00010
30/09/2010,0.095400,0.00010
29/10/2010,0.038800,0.00010
30/11/2010,0.006000,0.00010
31/12/2010,0.068200,0.00010
31/01/2011,0.019900,0.00010
28/02/2011,0.034900,0.00010
31/03/2011,0.004500,0.00010
29/04/2011,0.029000,0.00000
31/05/2011,-0.012700,0.00000
30/06/2011,-0.017500,0.00000
29/07/2011,-0.023600,0.00000
31/08/2011,-0.059900,0.00010
30/09/2011,-0.075900,0.00000
31/10/2011,0.113500,0.00000
30/11/2011,-0.002800,0.00000
30/12/2011,0.007400,0.00000
31/01/2012,0.050500,0.00000
29/02/2012,0.044200,0.00000
30/03/2012,0.031100,0.00000
30/04/2012,-0.008500,0.00000
31/05/2012,-0.061900,0.00010
29/06/2012,0.038900,0.00000
31/07/2012,0.007900,0.00000
31/08/2012,0.025500,0.00010
28/09/2012,0.027300,0.00010
31/10/2012,-0.017600,0.00010
30/11/2012,0.007800,0.00010
31/12/2012,0.011800,0.00010
31/01/2013,0.055700,0.00000
28/02/2013,0.012900,0.00000
28/03/2013,0.040300,0.00000
30/04/2013,0.015500,0.00000
31/05/2013,0.028000,0.00000
28/06/2013,-0.012000,0.00000
31/07/2013,0.056500,0.00000
30/08/2013,-0.027100,0.00000
30/09/2013,0.037700,0.00000
31/10/2013,0.041800,0.00000
29/11/2013,0.031200,0.00000
31/12/2013,0.028100,0.00000
31/01/2014,-0.033200,0.00000
28/02/2014,0.046500,0.00000
31/03/2014,0.004300,0.00000
30/04/2014,-0.001900,0.00000
30/05/2014,0.020600,0.00000
30/06/2014,0.026100,0.00000
31/07/2014,-0.020400,0.00000
29/08/2014,0.042400,0.00000
30/09/2014,-0.019700,0.00000
31/10/2014,0.025200,0.00000
28/11/2014,0.025500,0.00000
31/12/2014,-0.000600,0.00000
30/01/2015,-0.031100,0.00000
27/02/2015,0.061300,0.00000
31/03/2015,-0.011200,0.00000
30/04/2015,0.005900,0.00000
29/05/2015,0.013600,0.00000
30/06/2015,-0.015300,0.00000
31/07/2015,0.015400,0.00000
31/08/2015,-0.060400,0.00000
30/09/2015,-0.030800,0.00000
30/10/2015,0.077500,0.00000
30/11/2015,0.005600,0.00000
31/12/2015,-0.021700,0.00010
29/01/2016,-0.057700,0.00010
29/02/2016,-0.000700,0.00020
31/03/2016,0.069600,0.00020
29/04/2016,0.009200,0.00010
31/05/2016,0.017800,0.00010
30/06/2016,-0.000500,0.00020
29/07/2016,0.039500,0.00020
31/08/2016,0.005000,0.00020
30/09/2016,0.002500,0.00020
31/10/2016,-0.020200,0.00020
30/11/2016,0.048600,0.00010
30/12/2016,0.018200,0.00030
31/01/2017,0.019400,0.00040
28/02/2017,0.035700,0.00040
31/03/2017,0.001700,0.00030
28/04/2017,0.010900,0.00050
31/05/2017,0.010600,0.00060
30/06/2017,0.007800,0.00060
31/07/2017,0.018700,0.00070
31/08/2017,0.001600,0.00090
29/09/2017,0.025100,0.00090
31/10/2017,0.022500,0.00090
30/11/2017,0.031200,0.00080
29/12/2017,0.010600,0.00090
31/01/2018,0.055800,0.00110
28/02/2018,-0.036500,0.00110
29/03/2018,-0.023500,0.00120
30/04/2018,0.002900,0.00140
31/05/2018,0.026500,0.00140
29/06/2018,0.004800,0.00140
31/07/2018,0.031900,0.00160
31/08/2018,0.034400,0.00160
28/09/2018,0.000600,0.00150
31/10/2018,-0.076800,0.00190
30/11/2018,0.016900,0.00180
31/12/2018,-0.095500,0.00190
